Order Date,Product Name,Category,Region,Quantity,Sales,Profit
12-04-2024,Monitor,Accessories,South,1,213,42.94
20-06-2024,Monitor,Accessories,North,4,3792,1092.85
21-06-2023,Mouse,Accessories,East,2,1932,109.07
25-01-2023,Keyboard,Accessories,West,4,4152,317.28
17-02-2024,Smartphone,Electronics,North,7,3612,529.57
09-09-2024,Smartphone,Electronics,East,2,2258,280.76
09-07-2022,Camera,Electronics,South,3,594,47.73
01-09-2023,Headphones,Accessories,West,7,8071,1799.06
30-03-2024,Keyboard,Accessories,North,7,5838,631.45
22-12-2024,Keyboard,Accessories,North,4,692,181.31
08-09-2024,Keyboard,Accessories,South,3,1704,309.06
21-01-2023,Printer,Office,South,5,3235,941.24
12-10-2023,Mouse,Accessories,East,6,4746,545.57
01-08-2022,Smartwatch,Electronics,South,8,7600,788.88
03-11-2023,Smartphone,Electronics,West,5,1935,128.01
04-12-2023,Laptop,Electronics,North,3,1638,306.29
30-06-2023,Keyboard,Accessories,West,7,4746,816.6
01-02-2023,Smartphone,Electronics,North,8,4824,1187.93
09-05-2022,Camera,Electronics,South,1,1193,153.72
16-12-2023,Laptop,Electronics,East,2,562,92.94
20-03-2022,Smartphone,Electronics,North,8,6200,1296.84
28-07-2024,Printer,Office,North,8,4128,315.48
28-03-2022,Printer,Office,East,5,5405,326.56
06-11-2024,Laptop,Electronics,North,3,1371,104.66
01-01-2023,Keyboard,Accessories,West,5,1405,194.33
18-03-2023,Keyboard,Accessories,North,3,1644,158.32
18-09-2024,Mouse,Accessories,West,6,3414,396.92
19-08-2024,Laptop,Electronics,East,8,3272,674.57
18-06-2022,Smartphone,Electronics,North,3,2655,646.91
29-05-2022,Smartwatch,Electronics,West,7,1673,458.32
09-06-2022,Tablet,Electronics,East,2,846,145.09
03-05-2023,Smartphone,Electronics,East,1,985,196.64
17-11-2023,Smartwatch,Electronics,North,9,7551,894.4
08-02-2022,Tablet,Electronics,North,5,855,217.16
23-10-2023,Camera,Electronics,South,2,396,94.55
24-08-2022,Tablet,Electronics,West,8,2296,560.48
09-05-2024,Monitor,Accessories,North,6,1704,199.94
12-03-2023,Smartphone,Electronics,East,2,1180,261.16
05-10-2022,Smartphone,Electronics,East,3,411,55.73
19-01-2022,Mouse,Accessories,East,1,745,151.22
09-05-2022,Printer,Office,West,9,10656,961.3
23-05-2024,Mouse,Accessories,South,3,1494,178.5
11-07-2024,Camera,Electronics,South,5,1755,358.01
22-08-2022,Camera,Electronics,South,9,4941,894.52
03-11-2024,Smartwatch,Electronics,North,6,6510,1539.18
11-10-2024,Smartphone,Electronics,South,5,5465,719.92
09-11-2024,Tablet,Electronics,South,3,3522,285.91
01-04-2024,Tablet,Electronics,West,6,1656,139.86
07-07-2022,Printer,Office,North,5,1255,257.15
10-06-2023,Keyboard,Accessories,East,1,1192,320.13
15-05-2023,Tablet,Electronics,West,5,1925,204.74
08-06-2022,Tablet,Electronics,West,8,1688,337.33
26-06-2023,Headphones,Accessories,South,1,260,16.81
19-01-2022,Monitor,Accessories,West,5,4880,1250.66
10-04-2024,Keyboard,Accessories,West,7,1134,179.74
10-06-2022,Laptop,Electronics,North,9,9621,1201.29
03-02-2023,Monitor,Accessories,South,4,2836,698.83
15-05-2023,Printer,Office,North,9,5859,1153.89
11-09-2022,Smartwatch,Electronics,South,2,2044,460.03
01-07-2023,Monitor,Accessories,South,1,612,174.52
18-02-2022,Smartwatch,Electronics,North,3,1890,492.31
30-09-2023,Smartwatch,Electronics,East,5,2025,168.82
04-09-2023,Printer,Office,South,2,1960,312.06
07-07-2022,Camera,Electronics,North,6,4410,893.27
14-07-2024,Keyboard,Accessories,West,8,8272,2391.88
27-09-2022,Smartwatch,Electronics,West,6,5712,638.29
20-04-2024,Smartwatch,Electronics,North,6,1524,178.36
24-05-2024,Keyboard,Accessories,North,8,5160,1057.41
29-12-2024,Mouse,Accessories,East,4,2956,451.6
07-05-2023,Smartphone,Electronics,West,8,7944,2257.73
10-09-2024,Camera,Electronics,North,5,1815,535.22
21-03-2023,Headphones,Accessories,North,3,2706,546.97
05-05-2023,Laptop,Electronics,North,2,1356,144.18
27-07-2023,Printer,Office,South,6,6384,1189.19
13-06-2023,Smartwatch,Electronics,South,9,4248,964.12
02-05-2024,Monitor,Accessories,North,6,3954,676.82
21-04-2024,Smartphone,Electronics,South,6,7110,739.6
25-07-2023,Headphones,Accessories,South,7,8113,995.03
26-01-2023,Headphones,Accessories,North,3,1830,183.62
11-01-2023,Keyboard,Accessories,West,4,3732,671.19
27-09-2024,Mouse,Accessories,West,6,4062,1087.17
03-12-2024,Smartwatch,Electronics,North,1,496,93.31
24-08-2023,Smartwatch,Electronics,East,4,1104,84.31
19-05-2023,Smartphone,Electronics,West,3,2274,662
13-06-2022,Smartwatch,Electronics,North,8,4456,1106.04
26-08-2022,Mouse,Accessories,West,8,4928,1038.18
22-01-2023,Smartphone,Electronics,North,4,1740,224.79
08-08-2022,Headphones,Accessories,North,2,178,31.46
19-11-2023,Printer,Office,East,8,5296,1234.81
28-06-2023,Mouse,Accessories,North,4,4156,847.09
09-10-2024,Printer,Office,North,1,624,106.92
04-09-2022,Smartphone,Electronics,West,4,3892,1052.72
18-07-2024,Mouse,Accessories,South,9,1620,294.6
22-09-2022,Mouse,Accessories,West,3,2250,301.97
31-07-2024,Monitor,Accessories,West,2,1390,316.31
21-04-2023,Camera,Electronics,South,5,5155,1325.16
09-07-2022,Smartwatch,Electronics,North,5,1025,262.91
31-07-2024,Mouse,Accessories,South,3,1785,244.52
30-09-2022,Smartwatch,Electronics,North,9,2952,605.85
25-12-2024,Headphones,Accessories,East,1,773,181.52
30-03-2023,Tablet,Electronics,North,8,1640,361.48
02-10-2023,Keyboard,Accessories,East,1,1017,69.33
23-05-2022,Headphones,Accessories,East,4,1964,349.91
05-04-2023,Mouse,Accessories,North,3,2994,638.59
08-10-2023,Printer,Office,East,9,8046,2210.33
22-05-2022,Printer,Office,West,2,1874,271.5
19-08-2023,Mouse,Accessories,North,8,6008,871.76
06-09-2023,Camera,Electronics,East,8,7240,411.19
17-06-2024,Monitor,Accessories,South,9,1188,348.31
22-12-2024,Headphones,Accessories,North,9,2997,163.34
02-02-2023,Printer,Office,West,9,7524,2017.85
13-10-2022,Monitor,Accessories,North,5,3625,268.73
31-03-2024,Laptop,Electronics,East,8,6952,871.2
29-05-2023,Camera,Electronics,North,9,1053,283.58
21-12-2024,Monitor,Accessories,North,9,6696,1224.22
09-10-2024,Headphones,Accessories,North,2,1420,93.59
29-12-2023,Camera,Electronics,West,9,9972,2566.01
28-11-2022,Laptop,Electronics,South,8,3136,494.26
10-02-2023,Camera,Electronics,West,3,225,20.52
12-05-2022,Mouse,Accessories,East,3,1662,375.04
03-05-2024,Printer,Office,West,4,500,85.96
02-08-2022,Smartphone,Electronics,North,8,3168,747.33
31-12-2023,Smartphone,Electronics,East,1,622,104.57
03-04-2022,Tablet,Electronics,North,3,1233,361.12
19-01-2024,Laptop,Electronics,West,3,573,116.14
18-02-2022,Tablet,Electronics,South,1,702,129.34
14-05-2024,Laptop,Electronics,South,8,4832,1261.06
17-01-2023,Printer,Office,North,5,3765,670.8
05-05-2024,Camera,Electronics,North,8,6928,1415.16
01-02-2023,Headphones,Accessories,West,7,1624,436.13
01-04-2023,Headphones,Accessories,North,1,68,10.39
04-06-2023,Mouse,Accessories,North,1,651,187.99
16-09-2024,Printer,Office,North,7,6293,718.49
16-02-2023,Keyboard,Accessories,West,2,1068,85.71
17-10-2023,Keyboard,Accessories,North,1,381,26.69
21-07-2022,Printer,Office,South,2,2016,426.43
10-02-2024,Headphones,Accessories,West,2,1224,340.67
23-10-2022,Monitor,Accessories,South,5,2180,400.01
12-09-2024,Laptop,Electronics,North,9,2853,353.09
04-10-2022,Mouse,Accessories,South,1,272,45.33
14-03-2022,Smartphone,Electronics,North,4,2640,183.23
26-04-2024,Monitor,Accessories,North,2,488,129.02
10-11-2023,Printer,Office,South,8,9184,1795.93
12-04-2024,Tablet,Electronics,North,5,280,23.98
03-10-2024,Keyboard,Accessories,East,3,2889,604.45
18-07-2024,Laptop,Electronics,West,1,625,125.9
16-04-2024,Keyboard,Accessories,South,8,7056,538.48
11-07-2023,Tablet,Electronics,West,8,3936,720.2
19-09-2022,Smartwatch,Electronics,East,6,2472,363.38
19-06-2022,Mouse,Accessories,West,5,855,67.57
25-02-2024,Mouse,Accessories,West,3,3480,560.39
07-03-2023,Camera,Electronics,South,1,846,103.3
09-03-2022,Keyboard,Accessories,North,1,158,46.24
31-12-2022,Mouse,Accessories,South,9,3186,583.24
01-02-2024,Mouse,Accessories,North,7,6972,969.43
15-04-2024,Mouse,Accessories,East,5,1745,449.64
15-05-2024,Laptop,Electronics,East,8,4256,372.95
14-04-2022,Keyboard,Accessories,South,3,1674,499.63
25-09-2024,Camera,Electronics,North,8,6488,1072.86
05-03-2022,Tablet,Electronics,East,5,3530,803.86
